Entry Date,Exit Date,Profit %
2010-02-04,2010-02-11,1.5877617647017042
2010-02-23,2010-03-01,1.8941539877310187
2010-03-19,2010-03-23,1.2417011071423656
2010-03-25,2010-04-01,0.9858486514381579
2010-04-16,2010-04-20,1.2734813393738904
2010-04-27,2010-04-29,2.0087964711074293
2010-04-30,2010-05-10,-2.230461030562366
2010-05-13,2010-05-27,-4.508995564214331
2010-05-28,2010-06-02,0.8777361900532289
2010-06-04,2010-06-10,2.1812812567259825
2010-06-22,2010-07-07,-3.1578528832839425
2010-07-16,2010-07-20,1.706413628150635
2010-07-21,2010-07-22,2.2321709793415114
2010-08-11,2010-08-17,0.2653282292944928
2010-08-19,2010-08-27,-0.9454803385234195
2010-08-30,2010-09-01,2.9911718274247017
2010-09-22,2010-09-24,1.2343829045026324
2010-09-30,2010-10-05,1.6734656697659576
2010-11-09,2010-11-18,-1.3567983309091316
2010-11-26,2010-12-01,1.8602903608733563
2011-01-19,2011-01-26,1.1072437673162228
2011-01-28,2011-02-01,2.364573760914348
2011-02-22,2011-02-25,0.3792803093880951
2011-03-01,2011-03-03,1.9400056272758865
2011-03-07,2011-03-21,-0.8569863218149475
2011-03-22,2011-03-24,1.2452355903900985
2011-04-11,2011-04-15,-0.3171096991913253
2011-05-06,2011-05-10,1.244437402369145
2011-05-13,2011-05-18,0.23873219441640164
2011-05-20,2011-05-26,-0.456565795885684
2011-06-01,2011-06-09,-1.8730768024867754
2011-06-10,2011-06-14,1.3479890025390566
2011-06-15,2011-06-21,2.4183082568400636
2011-06-24,2011-06-28,2.208007606030721
2011-07-11,2011-07-19,0.5758713447167072
2011-07-27,2011-08-11,-10.160821443899257
2011-08-18,2011-08-23,1.6854095502777235
2011-08-25,2011-08-29,4.368778562811206
2011-09-02,2011-09-07,2.070397642589717
2011-09-08,2011-09-13,-1.092039471020649
2011-09-21,2011-09-26,-0.33438679224393764
2011-09-27,2011-10-05,-2.654408022778387
2011-10-07,2011-10-10,3.344546278306468
2011-10-25,2011-10-27,4.534753883073284
2011-10-31,2011-11-02,-1.20318541644261
2011-11-09,2011-11-11,2.8418379312844144
2011-11-14,2011-11-28,-4.583172673156458
2011-12-08,2011-12-20,0.617972528054852
2011-12-28,2012-01-03,2.1389147217544378
2012-01-26,2012-02-01,0.44739649224525724
2012-02-15,2012-02-16,1.1073223857153065
2012-02-29,2012-03-07,-0.9706590865802717
2012-04-09,2012-04-12,0.41239354202316
2012-04-13,2012-04-17,1.4146142449767494
2012-04-20,2012-04-24,-0.4639211284458429
2012-05-03,2012-05-21,-5.227982100511077
2012-05-25,2012-05-29,1.2111825110339898
2012-05-30,2012-06-05,-2.0415703313174984
2012-06-11,2012-06-14,1.5676430238924288
2012-06-21,2012-06-27,0.5512290849297353
2012-07-10,2012-07-13,1.2002580240480645
2012-07-20,2012-07-26,-0.21986048442684775
2012-07-31,2012-08-03,1.1908741233242504
2012-08-21,2012-08-24,-0.1763226414064077
2012-08-27,2012-08-31,-0.26849680013076516
2012-09-21,2012-09-27,-0.8432297163256717
2012-10-01,2012-10-04,1.2331323950219435
2012-10-09,2012-10-15,-0.08321536715298837
2012-10-19,2012-11-01,-0.39054083924427746
2012-11-02,2012-11-06,0.9889873994875682
2012-11-07,2012-11-19,-0.4222547568190633
2012-12-13,2012-12-17,0.799250905463606
2012-12-26,2012-12-31,0.4656277945086276
2013-01-31,2013-02-01,1.028747765803348
2013-02-04,2013-02-08,1.5113096555679966
2013-02-20,2013-02-22,0.3633755641826926
2013-02-25,2013-02-27,1.9530377482260066
2013-02-28,2013-03-04,0.8640672787460869
2013-03-21,2013-03-28,1.496527228277839
2013-04-03,2013-04-08,0.6313717357855839
2013-04-15,2013-04-19,0.2320497813786313
2013-05-22,2013-05-28,0.2229802180372284
2013-05-31,2013-06-07,0.8259367641227269
2013-06-11,2013-06-18,1.6186629335741463
2013-06-19,2013-06-25,-2.472305278304428
2013-06-27,2013-07-05,1.2043862964000163
2013-08-06,2013-08-08,0.04124769923296526
2013-08-14,2013-08-22,-1.5882180380877864
2013-08-26,2013-09-04,-0.1506007413042569
2013-09-20,2013-10-01,-0.8083273876317083
2013-10-07,2013-10-10,1.0392503193356524
2013-10-15,2013-10-16,1.3966031077145318
2013-10-31,2013-11-04,0.5916101283518006
2013-11-07,2013-11-11,1.3662591942817586
2013-11-19,2013-11-22,0.9942340433321327
2013-12-05,2013-12-06,1.1176538296296132
2013-12-11,2013-12-16,0.27979672082297163
2014-01-02,2014-01-10,0.6669826384087209
2014-01-13,2014-01-15,1.6346726085517433
2014-01-17,2014-01-30,-2.401386767154695
2014-02-03,2014-02-06,1.9004347903049037
2014-02-19,2014-02-24,1.0327203323766674
2014-03-11,2014-03-17,-0.48067442221262
2014-03-21,2014-03-28,-0.38127731176555407
2014-04-04,2014-04-09,0.3702142957476543
2014-04-10,2014-04-15,0.5677896434369475
2014-04-25,2014-04-29,0.7836955590651158
2014-05-06,2014-05-12,1.6115308245958426
